line,name,code,lat,lng,index,노선명,역명,승차총승객수,하차총승객수,next_column,총승객수
08호선,단대오거리,2824.0,37.44521,127.156866,20231101,8호선,단대오거리,13482,13072,20231104,26554
경의선,원덕,1218.0,37.468672,127.547076,20231101,중앙선,원덕,372,362,20231104,734
경의선,용문,1219.0,37.48223,127.594647,20231101,중앙선,용문,2194,2097,20231104,4291
경의선,지평,1220.0,37.476444,127.629617,20231101,중앙선,지평,72,71,20231104,143
nan,4.19민주묘지,,37.64954,127.01371,20231101,우이신설선,419민주묘지,4515,4447,20231104,8962
우이신설경전철,가오리,4704.0,37.641701,127.016792,20231101,우이신설선,가오리,4770,4896,20231104,9666
우이신설경전철,화계,4705.0,37.634802,127.017519,20231101,우이신설선,화계,3829,3681,20231104,7510
우이신설경전철,삼양,4706.0,37.627165,127.018152,20231101,우이신설선,삼양,2220,2390,20231104,4610
우이신설경전철,삼양사거리,4707.0,37.621512,127.02048,20231101,우이신설선,삼양사거리,2737,2708,20231104,5445
우이신설경전철,솔샘,4708.0,37.62124,127.013528,20231101,우이신설선,솔샘,6881,6454,20231104,13335
우이신설경전철,북한산보국문,4709.0,37.612343,127.008009,20231101,우이신설선,북한산보국문,7233,7088,20231104,14321
우이신설경전철,정릉,4710.0,37.602798,127.01349,20231101,우이신설선,정릉,5498,4973,20231104,10471
04호선,성신여대입구,418.0,37.592624,127.016403,20231101,우이신설선,성신여대입구,3769,4214,20231104,7983
06호선,보문,2639.0,37.585286,127.019381,20231101,우이신설선,보문,1748,1698,20231104,3446
01호선,신설동,156.0,37.575297,127.025087,20231101,우이신설선,신설동,2775,2612,20231104,5387
03호선,원흥,1948.0,37.650658,126.872642,20231101,일산선,원흥,12918,12339,20231104,25257
03호선,지축,309.0,37.648048,126.913951,20231101,일산선,지축,2,0,20231104,2
03호선,삼송,1950.0,37.653083,126.895558,20231101,일산선,삼송,21076,20177,20231104,41253
03호선,원당,1951.0,37.653324,126.843041,20231101,일산선,원당,12506,11760,20231104,24266
03호선,화정,1952.0,37.634592,126.83265,20231101,일산선,화정,18534,19111,20231104,37645
03호선,대곡,1953.0,37.631626,126.811024,20231101,일산선,대곡,3220,2380,20231104,5600
03호선,백석,1954.0,37.643114,126.78787,20231101,일산선,백석,10559,10662,20231104,21221
03호선,마두,1955.0,37.652206,126.77762,20231101,일산선,마두,8347,8674,20231104,17021
03호선,정발산,1956.0,37.659477,126.773359,20231101,일산선,정발산,7592,7482,20231104,15074
03호선,주엽,1957.0,37.670072,126.761334,20231101,일산선,주엽,10350,10543,20231104,20893
03호선,대화,1958.0,37.676087,126.747569,20231101,일산선,대화,14723,11171,20231104,25894
01호선,봉명,1401.0,36.801215,127.135763,20231101,장항선,봉명,1595,1603,20231104,3198
01호선,쌍용,1402.0,36.793759,127.1214,20231101,장항선,쌍용,3269,3110,20231104,6379
01호선,아산,1403.0,36.792053,127.104361,20231101,장항선,아산,4345,3991,20231104,8336
nan,탕정,,36.7882137,127.0845547,20231101,장항선,탕정,1687,1463,20231104,3150
01호선,배방,1405.0,36.777629,127.052991,20231101,장항선,배방,1282,1209,20231104,2491
01호선,온양온천,1407.0,36.780483,127.003249,20231101,장항선,온양온천,4569,4663,20231104,9232
01호선,신창,1408.0,36.769502,126.951108,20231101,장항선,신창,2841,2747,20231104,5588
01호선,회기,1015.0,37.58946,127.057583,20231101,중앙선,회기,30333,29319,20231104,59652
경의선,중랑,1201.0,37.594917,127.076116,20231101,중앙선,중랑,5932,5836,20231104,11768
07호선,상봉,2722.0,37.596362,127.085032,20231101,중앙선,상봉,6311,6296,20231104,12607
경의선,망우,1203.0,37.59955,127.091909,20231101,중앙선,망우,8090,7807,20231104,15897
경의선,양원,1204.0,37.606596,127.107906,20231101,중앙선,양원,3534,3482,20231104,7016
경의선,구리,1205.0,37.603392,127.143869,20231101,중앙선,구리,14503,14646,20231104,29149
경의선,도농,1206.0,37.608806,127.161153,20231101,중앙선,도농,12694,11578,20231104,24272
경의선,양정,1207.0,37.60533,127.19364,20231101,중앙선,양정,659,552,20231104,1211
경의선,덕소,1208.0,37.586781,127.208832,20231101,중앙선,덕소,5919,5696,20231104,11615
경의선,도심,1209.0,37.579622,127.222672,20231101,중앙선,도심,2807,2191,20231104,4998
경의선,팔당,1210.0,37.547371,127.243939,20231101,중앙선,팔당,770,780,20231104,1550
경의선,운길산,1211.0,37.554669,127.310115,20231101,중앙선,운길산,661,696,20231104,1357
03호선,금호,324.0,37.548034,127.015872,20231101,3호선,금호,8841,8088,20231104,16929
03호선,옥수,325.0,37.540685,127.017965,20231101,3호선,옥수,9807,9948,20231104,19755
01호선,서울역,150.0,37.554648,126.972559,20231101,1호선,서울역,55292,52681,20231104,107973
01호선,시청,151.0,37.564718,126.977108,20231101,1호선,시청,31078,31069,20231104,62147
01호선,종각,152.0,37.570161,126.982923,20231101,1호선,종각,43422,43065,20231104,86487
01호선,종로3가,153.0,37.571607,126.991806,20231101,1호선,종로3가,26578,23638,20231104,50216
01호선,종로5가,154.0,37.570926,127.001849,20231101,1호선,종로5가,26110,25873,20231104,51983
01호선,동대문,155.0,37.57142,127.009745,20231101,1호선,동대문,11686,11212,20231104,22898
01호선,신설동,156.0,37.575297,127.025087,20231101,1호선,신설동,15455,14851,20231104,30306
01호선,제기동,157.0,37.578103,127.034893,20231101,1호선,제기동,17350,17321,20231104,34671
01호선,청량리,158.0,37.580178,127.046835,20231101,1호선,청량리,21994,21494,20231104,43488
01호선,동묘앞,159.0,37.572627,127.016429,20231101,1호선,동묘앞,8445,8872,20231104,17317
01호선,시청,151.0,37.564718,126.977108,20231101,2호선,시청,30681,29475,20231104,60156
02호선,을지로입구,202.0,37.566014,126.982618,20231101,2호선,을지로입구,52155,54792,20231104,106947
02호선,을지로3가,203.0,37.566295,126.99191,20231101,2호선,을지로3가,28397,28085,20231104,56482
